"Project","Region","Sample_ID","Sample_Year","Sample_Month","Sample_Day","Site","Event","Plot","Location","Depth_cm","Timepoint","Sample_Type","Evacuation_date_YYYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Notes","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","pH","pH_flag","Cond","Cond_units","Collection_temp_C","Temperature_flag","Analyte_Notes"
"COMPASS","CB","TMP_PW_FW_H6_15CM_20220620_T0",2022,6,20,"TMP","Monitoring","F","H6",15,"T0","PW",20220620,20220620,1015,NA,"EDT","DOC+iso+pool",14.41,1200.83,NA,0.54,38.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_C6_15CM_20220620_T0",2022,6,20,"TMP","Monitoring","F","C6",15,"T0","PW",20220620,20220620,1015,NA,"EDT","DOC+iso+pool",8.27,689.17,NA,0.36,25.71,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_I5_15CM_20220620_T0",2022,6,20,"TMP","Monitoring","F","I5",15,"T0","PW",20220620,20220620,1015,NA,"EDT","All subsample",15.67,1305.83,NA,0.7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_C3_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","S","C3",15,"T1","PW",20220622,20220622,1247,NA,"EDT","1 rinse between lysimeters",15.5,1291.67,NA,0.93,66.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_H6_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","S","H6",15,"T1","PW",20220622,20220622,1247,NA,"EDT","1 rinse between lysimeters",7.25,604.17,NA,0.37,26.43,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_B4_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","S","B4",15,"T1","PW",20220622,20220622,1247,NA,"EDT","1 rinse between lysimeters",11.37,947.5,NA,0.48,34.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_F4_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","F4",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,10.45,870.83,NA,0.49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_SW_E3_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","S","E3",15,"T1","PW",20220622,20220622,1247,NA,"EDT","3 rinse between lysimeter",4.9,408.33,NA,0.44,31.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_I5_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","I5",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,26.89,2240.83,NA,0.42,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_C6_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","C6",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,1.27,105.83,"blank is greater than or equal to 25% of sample value",0.08,5.71,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_C3_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","C3",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,5.54,461.67,NA,0.18,12.86,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_H3_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","H3",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,5.62,468.33,NA,0.24,17.14,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
"COMPASS","CB","TMP_PW_FW_D5_15CM_20220622_T1",2022,6,22,"TMP","TMP-I","F","D5",15,"T1","PW",20220622,20220622,1245,1445,"EDT",NA,4.67,389.17,NA,0.16,11.43,"blank is greater than or equal to 25% of sample value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients, pH, Sulfate/Chloride/Salinity, and Sulfide were not analyzed in 2022"
