"","Project","Site","Plot","Grid","Depth_cm","Sample_ID","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"1","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220620_T0_15CM","14.41",1200.83,NA,"0.54",38.57,NA,NA,NA,"DOC+iso+pool",NA,"20220620","1015","1415",NA,"7"
"2","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220620_T0_15CM","8.27",689.17,NA,"0.36",25.71,"blank is ≥ 25% of sample value",NA,NA,"DOC+iso+pool",NA,"20220620","1015","1415",NA,"7"
"3","COMPASS","TEMPEST","FW","I5",15,"TMP_FW_I5_20220620_T0_15CM","15.67",1305.83,NA,"0.7",50,NA,NA,NA,"All subsample",NA,"20220620","1015","1415",NA,"7"
"4","COMPASS","TEMPEST","SW","C3",15,"TMP_SW_C3_20220622_T1_15CM","15.5",1291.67,NA,"0.93",66.43,NA,NA,NA,"1 rinse between lysimeters",NA,"20220622","1247","1647",NA,"10"
"5","COMPASS","TEMPEST","SW","H6",15,"TMP_SW_H6_20220622_T1_15CM","7.25",604.17,NA,"0.37",26.43,"blank is ≥ 25% of sample value",NA,NA,"1 rinse between lysimeters",NA,"20220622","1247","1647",NA,"9"
"6","COMPASS","TEMPEST","SW","B4",15,"TMP_SW_B4_20220622_T1_15CM","11.37",947.5,NA,"0.48",34.29,NA,NA,NA,"1 rinse between lysimeters",NA,"20220622","1247","1647",NA,"10"
"7","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220622_T1_15CM","10.45",870.83,NA,"0.49",35,NA,NA,NA,NA,NA,"20220622","1245","1645",NA,"9"
"8","COMPASS","TEMPEST","SW","E3",15,"TMP_SW_E3_20220622_T1_15CM","4.9",408.33,NA,"0.44",31.43,NA,NA,NA,"3 rinse between lysimeter",NA,"20220622","1247","1647",NA,"10"
"9","COMPASS","TEMPEST","FW","I5",15,"TMP_FW_I5_20220622_T1_15CM","26.89",2240.83,NA,"0.42",30,NA,NA,NA,NA,NA,"20220622","1245","1645",NA,"10"
"10","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220622_T1_15CM","1.27",105.83,"blank is ≥ 25% of sample value","0.08",5.71,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1245","1645",NA,"7"
"11","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220622_T1_15CM","5.54",461.67,NA,"0.18",12.86,"blank is ≥ 25% of sample value",NA,NA,"General note: vibes- spicy",NA,"20220622","1245","1645",NA,"7.5"
"12","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220622_T1_15CM","5.62",468.33,NA,"0.24",17.14,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1245","1645",NA,"10"
