"","Column_Names","Description","Units","Instrument_ifapplicable"
"1","Project","Project name","NA","NA"
"2","Site","Site where sample collected","NA","NA"
"3","Plot","Plot where sample collected (SW = Saltwater, FW = Freshwater, C = 
                         Control, Estuary (Sourcewater))","NA","NA"
"4","Grid","Grid where sample collected (Letter + Number)","NA","NA"
"5","Depth_cm","Depth where sample collected","cm","cm"
"6","Sample_ID","Sample Identifier","NA","NA"
"7","npoc_mgL","Non-Purgeable Organic Carbon (NPOC) concentration in mg/L","mg/L","Shimadzu TOC"
"8","npoc_uM","Non-Purgeable Organic Carbon (NPOC) concentration in uM","uM","Shimadzu TOC"
"9","npoc_flag","QAQC Flags generated during checks of NPOC standards, blanks, dups, and spks","NA","NA"
"10","tdn_mgL","Total Dissolved Nitrogen (TDN) concentration in mg/L","mg/L","Shimadzu TOC"
"11","tdn_uM","Total Dissolved Nitrogen (TDN) concentration in uM","uM","Shimadzu TOC"
"12","tdn_flag","QAQC Flags generated during checks of TDN standards, blanks, dups, and spks","NA","NA"
"13","Analysis_runtime","The date that samples were run on the Shimadzu TOC","NA","NA"
"14","Run_notes","Any notes generated during QAQC","NA","NA"
"15","Field_notes","Any notes generated during sample collection in the field","NA","NA"
"16","Evacuation_date_YYYMMDD","Date lysimeter evacuated","NA","NA"
"17","Collection_Date_YYYYMMDD","Date sample collected","NA","NA"
"18","Collection_Start_Time_24hrs","Time lysimeter evacuated","NA","NA"
"19","Collection_End_Time_24hrs","Time sample collected","NA","NA"
"20","EST_EDT","Time zone of sample collection","NA","NA"
"21","Volume_mL","Volume of sample collected (mL)","mL","mL"
