Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.163	4.9616	92.71	6.0412	46.39	BMB
6	Standard 2	Calibration Standard	3.153	9.9954	92.55	12.1704	92.36	BMB
7	Standard 3	Calibration Standard	3.143	19.5935	93.22	23.857	178.07	BMB
8	Standard 4	Calibration Standard	3.147	99.8362	93.04	121.5604	877.44	BMB
9	Standard 5	Calibration Standard	3.13	200.1238	93	243.6705	1806.49	BMB
10	Lab Blank	Unknown	3.147	0.0178	38.93	0.0216	0.1	BM 
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
12	1	Unknown	3.157	1.3603	0.32	0.0331	0.35	Rd
13	2	Unknown	3.157	3.6372	0.86	0.0886	0.83	Rd
14	3	Unknown	3.157	2.8974	0.71	0.0706	0.67	Rd
15	4	Unknown	3.157	2.5507	0.62	0.0621	0.6	Rd
16	5	Unknown	3.157	2.0443	0.5	0.0498	0.5	Rd
17	6	Unknown	3.157	1.4977	0.36	0.0365	0.38	Rd
18	7	Unknown	3.153	20.5422	5.69	0.5002	4.16	bMb*
19	8	Unknown	3.153	36.0216	9.85	0.8772	7.18	bMb*
20	9	Unknown	3.15	15.7766	3.83	0.3842	3.2	bMb*
21	10	Unknown	3.153	107.7621	21.79	2.6242	21.14	bMb*
22	10_DUP	Unknown	3.153	108.4578	21.83	2.6412	21.34	bMb*
23	11	Unknown	3.157	12.2731	2.9	0.2989	2.52	Rd
24	11_SPK	Spiked	3.153	11.9549	2.45	0.2911	2.45	Rd
25	Standard 1	Check Standard	3.15	4.9619	92.64	6.0416	46.28	BMB
26	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
27	12	Unknown	3.157	5.5474	1.33	0.1351	1.2	Rd
28	13	Unknown	3.153	15.4339	3.88	0.3758	3.15	bMb*
29	14	Unknown	3.153	2.6872	0.66	0.0654	0.63	Rd
30	15	Unknown	3.153	1.2468	0.31	0.0304	0.33	Rd
31	16	Unknown	3.153	2.819	0.68	0.0686	0.66	Rd
32	17	Unknown	3.153	1.2024	0.29	0.0293	0.32	Rd
33	18	Unknown	3.15	0.0291	0.01	0.0007	0.02	bMb*
34	19	Unknown	3.153	1.6743	0.41	0.0408	0.42	Rd
35	20	Unknown	3.157	1.5316	0.37	0.0373	0.4	Rd
