Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	5.703 	0.4755 	6.72 	0.6249 	3.52 
6	Standard 2	Calibration Standard	5.690 	0.9860 	6.88 	1.2958 	7.22 
7	Standard 3	Calibration Standard	5.690 	1.9918 	6.95 	2.6176 	14.44 
8	Standard 4	Calibration Standard	5.647 	10.0569 	7.01 	13.2167 	68.47 
9	Standard 5	Calibration Standard	5.610 	19.9737 	6.98 	26.2494 	125.27 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_FW_I5_20230608	Unknown	5.697 	10.7456 	1.85 	0.2824 	1.02 
13	2_TEMPEST_SW_E3_20230612	Unknown	5.707 	197.4319 	5.09 	4.5640 	25.28 
14	3_TEMPEST_SW_D5_20230612	Unknown	5.677 	214.0229 	5.42 	4.9475 	27.42 
15	4_TEMPEST_SW_H6_20230612	Unknown	5.680 	423.1609 	7.33 	11.1223 	58.32 
16	5_TEMPEST_FW_I5_20230612	Unknown	5.697 	8.2911 	1.56 	0.2179 	0.73 
17	6_TEMPEST_FW_D5_20230612	Unknown	5.707 	9.2820 	1.64 	0.2440 	0.82 
18	7_TEMPEST_FW_H6_20230612	Unknown	5.740 	9.6885 	1.90 	0.2547 	0.94 
19	8_TEMPEST_FW_C3_20230612	Unknown	5.710 	11.3645 	2.16 	0.2987 	1.13 
