Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Standard 1	Calibration Standard	4.323 	0.4115 	6.31 	0.4688 	2.09 	 MB
5	Standard 2	Calibration Standard	4.320 	0.9451 	6.50 	1.0766 	4.88 	 M 
6	Standard 3	Calibration Standard	4.313 	1.8995 	7.18 	2.1636 	9.64 	 M 
7	Standard 4	Calibration Standard	4.287 	9.9620 	7.57 	11.3475 	46.54 	 M 
8	Standard 5	Calibration Standard	4.260 	20.0340 	7.68 	22.8204 	87.66 	 M 
9	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
11	TEMPEST_C_C6_20230515	Unknown	4.310 	5.0195 	0.90 	0.1144 	0.50 	 M 
12	TEMPEST_C_F6_20230515	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
13	TEMPEST_C_H3_20230518	Unknown	4.310 	4.7019 	0.95 	0.1071 	0.44 	 M 
14	TEMPEST_C_H3_20230515	Unknown	4.313 	5.3141 	1.05 	0.1211 	0.47 	 M 
15	TEMPEST_C_H6_20230515	Unknown	4.317 	2.8599 	0.54 	0.0652 	0.40 	 M 
16	TEMPEST_C_I5_20230518	Unknown	4.313 	2.9560 	0.56 	0.0673 	0.40 	 M 
17	TEMPEST_C_15_20230518_dup	Unknown	4.317 	2.8714 	0.54 	0.0654 	0.40 	 M 
18	TEMPEST_C_15_20230518_spk	Unknown	4.313 	151.6485 	23.56 	3.4548 	12.81 	 MB
19	TEMPEST_FW_B4_20230515	Unknown	4.313 	6.2350 	1.19 	0.1420 	0.54 	 M 
20	TEMPEST_FW_C3_20230515	Unknown	4.317 	5.3038 	0.99 	0.1208 	0.48 	 M 
21	TEMPEST_FW_C6_20230515	Unknown	4.297 	3.8657 	0.72 	0.0881 	0.44 	 M 
22	TEMPEST_FW_D5_20230515	Unknown	4.333 	3.6523 	0.69 	0.0832 	0.43 	 M 
23	Standard 1	Check Standard	4.337 	0.4128 	6.29 	0.4702 	2.12 	 MB
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
25	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
26	TEMPEST_FW_E3_20230515	Unknown	4.363 	7.1851 	3.01 	1.8067 	6.08 	 M 
27	TEMPEST_FW_F6_20230515	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
