date,Project,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2024-06-10,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240610_T0,2024-06-07T21:34:00Z,2024-06-10T20:49:00Z,EDT,8.087,0.3714,NPOC checks out of range,TN checks out of range
2024-06-10,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240610_T0,2024-06-07T22:03:00Z,2024-06-10T21:45:00Z,EDT,12.82,0.5957,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240611_T1,2024-06-10T20:05:00Z,2024-06-11T21:00:00Z,EDT,19.21,1.46,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20240611_T1,2024-06-10T21:09:00Z,2024-06-11T21:17:00Z,EDT,5.329,0.2405,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240611_T1,2024-06-10T20:49:00Z,2024-06-11T21:00:00Z,EDT,4.18,0.2676,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240611_T1,2024-06-10T21:03:00Z,2024-06-11T20:30:00Z,EDT,5.84,0.00678,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240611_T1,2024-06-10T21:19:00Z,2024-06-11T20:43:00Z,EDT,7.564,0.3032,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240611_T1,2024-06-10T21:45:00Z,2024-06-11T20:07:00Z,EDT,7.35,0.6129,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240612_T3,2024-06-12T16:31:00Z,2024-06-12T22:40:00Z,EDT,5.273,0.2527,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240614_T6,2024-06-13T22:44:00Z,2024-06-14T22:06:00Z,EDT,5.398,0.427,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240614_T6,2024-06-13T22:57:00Z,2024-06-14T21:43:00Z,EDT,5.674,0.3358,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240614_T6,2024-06-13T22:29:00Z,2024-06-14T21:53:00Z,EDT,3.971,0.2582,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20240614_T6,2024-06-13T22:13:00Z,2024-06-14T21:38:00Z,EDT,4.342,0.309,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240614_T6,2024-06-13T22:19:00Z,2024-06-14T21:20:00Z,EDT,4.04,0.2032,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20240614_T6,2024-06-13T21:46:00Z,2024-06-14T21:15:00Z,EDT,4.46,0.2951,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20240614_T6,2024-06-13T23:24:00Z,2024-06-14T22:18:00Z,EDT,4.841,0.1826,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240614_T6,2024-06-13T22:37:00Z,2024-06-14T21:55:00Z,EDT,4.284,0.1261,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240614_T6,2024-06-13T23:12:00Z,2024-06-14T21:24:00Z,EDT,6.521,0.3691,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,E3,FW_E3_DOC_20240614_T6,2024-06-13T22:30:00Z,2024-06-14T22:29:00Z,EDT,7.641,0.2835,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240614_T6,2024-06-13T22:06:00Z,2024-06-14T22:35:00Z,EDT,5.791,0.02767,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20240614_T6,2024-06-13T21:56:00Z,2024-06-14T22:46:00Z,EDT,4.228,0.1816,NPOC checks out of range,TN checks out of range
2024-06-14,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240614_T6,2024-06-13T21:42:00Z,2024-06-14T20:42:00Z,EDT,6.165,0.3239,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240612_T2,2024-06-11T21:00:00Z,2024-06-12T16:20:00Z,EDT,6.176,0.7919,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240612_T2,2024-06-11T21:27:00Z,2024-06-12T16:31:00Z,EDT,12.85,0.5984,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240612_T2,2024-06-11T20:37:00Z,2024-06-12T15:42:00Z,EDT,5.898,0.3155,NPOC checks out of range,TN checks out of range
