Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.25	5.1175	93.35	5.6266	39.29
6	Standard 2	Calibration Standard	3.247	9.7321	93.38	10.7001	74.14
7	Standard 3	Calibration Standard	3.247	19.6558	93.19	21.611	148.15
8	Standard 4	Calibration Standard	3.237	101.0288	93.18	111.078	746.44
9	Standard 5	Calibration Standard	3.237	199.5305	93.08	219.3777	1489.41
10	Lab Blank	Unknown	3.25	0.0222	86.26	0.0244	0.11
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_SW_H6_20250131_15cm	Unknown	3.247	16.8967	4.34	0.3715	2.86
13	2_TEMPEST_SW_D5_20250131_15cm	Unknown	3.25	101.2364	21.91	2.2261	16.42
14	3_TEMPEST_SW_F4_20250131_15cm	Unknown	3.25	89.1587	18.33	1.9605	14.6
15	4_TEMPEST_SW_I5_20250131_15cm	Unknown	3.25	261.4767	37.6	5.7497	41.61
16	5_TEMPEST_SW_E3_20250131_15cm	Unknown	3.25	228.4353	32.99	5.0232	36.45
17	6_TEMPEST_SW_C3_20250131_15cm	Unknown	3.25	264.2205	37.14	5.81	42.01
18	7_TEMPEST_SW_F6_20250131_15cm	Unknown	3.25	253.9572	36.67	5.5844	40.48
19	8_TEMPEST_SW_B4_20250131_15cm	Unknown	3.25	392.6059	44.91	8.6332	62.06
