Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.387	0.4707	6.36	0.3835	2.4
6	Standard 2	Calibration Standard	4.387	0.917	6.52	0.747	4.63
7	Standard 3	Calibration Standard	4.377	1.917	6.73	1.5617	9.42
8	Standard 4	Calibration Standard	4.347	9.9745	6.82	8.1257	44.98
9	Standard 5	Calibration Standard	4.313	20.0259	6.92	16.314	82.68
10	Lab Blank	Unknown	4.39	0.0025	7.31	0.0021	0.01
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_SW_H6_20250131_15cm	Unknown	4.387	5.468	1.04	0.0891	0.52
13	2_TEMPEST_SW_D5_20250131_15cm	Unknown	4.383	41.6773	6.68	0.679	4.16
14	3_TEMPEST_SW_F4_20250131_15cm	Unknown	4.213	15.3988	2.35	0.2509	0
15	4_TEMPEST_SW_I5_20250131_15cm	Unknown	4.383	65.919	7.02	1.074	6.56
16	5_TEMPEST_SW_E3_20250131_15cm	Unknown	4.383	63.0333	6.74	1.027	6.27
17	6_TEMPEST_SW_C3_20250131_15cm	Unknown	4.383	75.5324	7.87	1.2306	7.5
18	7_TEMPEST_SW_F6_20250131_15cm	Unknown	4.383	64.6348	6.92	1.0531	6.44
19	8_TEMPEST_SW_B4_20250131_15cm	Unknown	4.38	63.8115	5.41	1.0397	6.36
20	9_TEMPEST_SW_C3_20250204_15cm	Unknown	4.383	54.9103	7.64	0.8946	5.49
