RUNSTARTED,1770664789,2/9/2026 14:19,,,Concentration,Absorbance,,Dilution,,,,,,
RESULT,-1,S1,Standard 1,0,0.019418,0.019418,0,0,0,0,mg N/L,Ammonia 2,1770666034,2/9/2026 14:40
RESULT,-2,S90,Standard .0389,1,0.041047,0.041047,0,0,0,0,mg N/L,Ammonia 2,1770666194,2/9/2026 14:43
RESULT,-2,S91,Standard .1000,2,0.071909,0.071909,0,0,0,0,mg N/L,Ammonia 2,1770666354,2/9/2026 14:45
RESULT,-2,S92,Standard .2000,3,0.126052,0.126052,0,0,0,0,mg N/L,Ammonia 2,1770666514,2/9/2026 14:48
RESULT,-2,S93,Standard .5000,4,0.291695,0.291695,0,0,0,0,mg N/L,Ammonia 2,1770666674,2/9/2026 14:51
RESULT,-2,S94,Standard 1.0000,5,0.560397,0.560397,0,0,0,0,mg N/L,Ammonia 2,1770666834,2/9/2026 14:53
RESULT,-2,S95,Standard 1.5000,6,0.845696,0.845696,0,0,0,0,mg N/L,Ammonia 2,1770666994,2/9/2026 14:56
RESULT,-2,S96,Standard 2.0000,7,1.095794,1.095794,0,0,0,0,mg N/L,Ammonia 2,1770667154,2/9/2026 14:59
RESULT,-1,S0,Standard 0,8,0.020398,0.020398,0,0,0,0,mg N/L,Ammonia 2,1770667314,2/9/2026 15:01
CALIBRATION,Ammonia 2,1770667314,2/9/2026 15:01,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,9,1.020161,0.572877,0,0,0,0,mg N/L,Ammonia 2,1770667474,2/9/2026 15:04
QCPRORESULT,NORMAL,0,1770667474,,,,,,,,,,,
QCPRODECISION,IN,1770667474,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,-0.003239,0.017735,0,0,0,0,mg N/L,Ammonia 2,1770667634,2/9/2026 15:07
QCPRORESULT,NORMAL,0,1770667634,,,,,,,,,,,
QCPRODECISION,IN,1770667634,,,,,,,,,,,,
RESULT,5,U1,TMP_C_H3_20240607,11,0.433686,0.254744,0,0,0,0,mg N/L,Ammonia 2,1770667794,2/9/2026 15:09
RESULT,6,U2,TMP_C_H6_20240607,12,0.041502,0.042004,0,0,0,0,mg N/L,Ammonia 2,1770667954,2/9/2026 15:12
RESULT,7,U3,TMP_FW_C6_20240607,13,0.045175,0.043997,0,0,0,0,mg N/L,Ammonia 2,1770668114,2/9/2026 15:15
RESULT,8,U4,TMP_FW_I5_20240607,14,0.015506,0.027903,0,0,0,0,mg N/L,Ammonia 2,1770668274,2/9/2026 15:17
RESULT,9,U5,TMP_FW_C3_T1_20240611,15,0.00633,0.022925,0,0,0,0,mg N/L,Ammonia 2,1770668434,2/9/2026 15:20
RESULT,10,U6,TMP_FW_C3_T3_20240612,16,0.005095,0.022255,0,0,0,0,mg N/L,Ammonia 2,1770668594,2/9/2026 15:23
RESULT,11,U7,TMP_FW_C6_T3_20240612,17,0.007047,0.023314,0,0,0,0,mg N/L,Ammonia 2,1770668754,2/9/2026 15:25
RESULT,12,U8,TMP_FW_F4_T3_20240612,18,0.006401,0.022964,0,0,0,0,mg N/L,Ammonia 2,1770668914,2/9/2026 15:28
