"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","H2S_QAQC_flag","Dilution","H2S_cv_flag","H2S_Conc_flag","Project","Zone","Source","Plot","Depth","Analyte","Date","Sample_ID","Analysis_rundate"
"1","96",0,0,0,0.068,-4.63665900172749,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","F4","15cm","SO4",20250711,"TMP_FW_PW_F4_20250711_15CM","20250926"
"2","100",0,0,0,0.065,-4.97810630241047,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250711,"TMP_FW_PW_I5_20250711_15CM","20250926"
"3","101",0,0,0,0.067,-4.75047476862182,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","D5","15cm","SO4",20250711,"TMP_FW_PW_D5_20250711_15CM","20250926"
"4","102",0,0,0,0.0746666666666667,-3.87788722243198,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","H3","15cm","SO4",20250131,"TMP_C_PW_H3_20250131_15CM","20250926"
"5","103",0,0,0,0.0663333333333333,-4.82635194655137,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","I5","15cm","SO4",20250131,"TMP_C_PW_I5_20250131_15CM","20250926"
"6","104",0,0,0,0.07,-4.40902746793884,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","D5","15cm","SO4",20250131,"TMP_C_PW_D5_20250131_15CM","20250926"
"7","105",0,0,0,0.0683333333333333,-4.59872041276271,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","B4","15cm","SO4",20250131,"TMP_C_PW_B4_20250131_15CM","20250926"
"8","106",0,0,0,0.0813333333333333,-3.11911544313647,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","C3","15cm","SO4",20250131,"TMP_C_PW_C3_20250131_15CM","20250926"
"9","107",0,0,0,0.0723333333333333,-4.14345734518541,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","E3","15cm","SO4",20250131,"TMP_C_PW_E3_20250131_15CM","20250926"
"10","108",0,0,0,0.0703333333333333,-4.37108887897406,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","H6","15cm","SO4",20250131,"TMP_C_PW_H6_20250131_15CM","20250926"
"11","109",0,0,0,0.0823333333333333,-3.00529967624214,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","F4","15cm","SO4",20250204,"TMP_C_PW_F4_20250204_15CM","20250926"
"12","110",0,0,0,0.0706666666666667,-4.33315029000928,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","H3","15cm","SO4",20250204,"TMP_C_PW_H3_20250204_15CM","20250926"
"13","111",0,0,0,0.0703333333333333,-4.37108887897406,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","E3","15cm","SO4",20250204,"TMP_C_PW_E3_20250204_15CM","20250926"
"14","112",0,0,0,0.072,-4.18139593415018,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","F6","15cm","SO4",20250204,"TMP_C_PW_F6_20250204_15CM","20250926"
"15","113",0,0,0,0.0753333333333333,-3.80201004450243,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","B4","15cm","SO4",20250204,"TMP_C_PW_B4_20250204_15CM","20250926"
"16","114",0,0,0,0.068,-4.63665900172749,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","C6","15cm","SO4",20250204,"TMP_C_PW_C6_20250204_15CM","20250926"
"17","115",0,0,0,0.0703333333333333,-4.37108887897406,"Std curve r2 low",1,"Within range","bdl","TMP","C","PW","C3","15cm","SO4",20250204,"TMP_C_PW_C3_20250204_15CM","20250926"
"18","93",0,0,0,0.0676666666666667,-4.67459759069227,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250602,"TMP_FW_PW_C3_20250602_15CM","20250926"
"19","94",0,0,0,0.0676666666666667,-4.67459759069227,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250602,"TMP_FW_PW_C6_20250602_15CM","20250926"
"20","95",0,0,0,0.067,-4.75047476862182,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","I5","15cm","SO4",20250602,"TMP_FW_PW_I5_20250602_15CM","20250926"
"21","97",0,0,0,0.068,-4.63665900172749,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C3","15cm","SO4",20250711,"TMP_FW_PW_C3_20250711_15CM","20250926"
"22","98",0,0,0,0.0686666666666667,-4.56078182379794,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","C6","15cm","SO4",20250711,"TMP_FW_PW_C6_20250711_15CM","20250926"
"23","99",0,0,0,0.0733333333333333,-4.02964157829108,"Std curve r2 low",1,"Within range","bdl","TMP","FW","PW","H3","15cm","SO4",20250711,"TMP_FW_PW_H3_20250711_15CM","20250926"
