"Project","Zone","Grid","Depth_cm","Sample_ID","Source","Volume_mL","Collection_Date","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Run_notes","Field_notes"
"TMP","C","B4","15cm","TMP_C_PW_B4_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","B4","15cm","TMP_C_PW_B4_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","B4","15cm","TMP_C_PW_B4_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1422"
"TMP","C","B4","15cm","TMP_C_PW_B4_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","C3","15cm","TMP_C_PW_C3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","C3","15cm","TMP_C_PW_C3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","light color"
"TMP","C","C3","15cm","TMP_C_PW_C3_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","C6","15cm","TMP_C_PW_C6_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","C6","15cm","TMP_C_PW_C6_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","C6","15cm","TMP_C_PW_C6_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","D5","15cm","TMP_C_PW_D5_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","D5","15cm","TMP_C_PW_D5_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","D5","15cm","TMP_C_PW_D5_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","E3","15cm","TMP_C_PW_E3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","E3","15cm","TMP_C_PW_E3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
