"Plot","Grid","Timepoint","Date","Start_time","End_time"
"FW","SOURCE","HR0",2022-06-22,"06:54:00",NA
"SW","SOURCE","HR0",2022-06-22,"06:45:00",NA
"FW","SOURCE","HR1",2022-06-22,"08:00:00",NA
"SW","SOURCE","HR1",2022-06-22,"08:00:00",NA
"FW","SOURCE","HR2",2022-06-22,"09:30:00",NA
"SW","SOURCE","HR2",2022-06-22,"09:30:00",NA
"FW","SOURCE","HR3",2022-06-22,"10:00:00",NA
"SW","SOURCE","HR3",2022-06-22,"10:00:00",NA
"FW","SOURCE","HR4",2022-06-22,"11:00:00",NA
"SW","SOURCE","HR4",2022-06-22,"11:00:00",NA
"FW","SOURCE","HR5",2022-06-22,"12:00:00",NA
"SW","SOURCE","HR5",2022-06-22,"12:00:00",NA
"FW","SOURCE","HR7",2022-06-22,"14:48:00",NA
"SW","SOURCE","HR7",2022-06-22,"14:09:00",NA
NA,"SOURCE",NA,NA,NA,NA
"FW","SOURCE",NA,NA,NA,NA
NA,"SOURCE",NA,NA,NA,NA
"SW","SOURCE",NA,NA,NA,NA
NA,"SOURCE",NA,NA,NA,NA
