"","Sample_ID","Site","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","NOx_Conc_mgL","NOx_Conc_uM","NOx_Conc_Flag","NOx_QAQC_Flag","NH3_Conc_mgL","NH3_Conc_uM","NH3_Conc_Flag","NH3_QAQC_Flag","PO4_Conc_mgL","PO4_Conc_uM","PO4_Conc_Flag","PO4_QAQC_Flag","Analysis_rundate","Run_notes","Field_notes"
"11","TEMPEST_FW_D5_T1_20240611","TEMPEST","FW","D5","15","T1",NA,"PW",8,"20240611",20240610,0.015477,1.10497119235794,"bdl","",0.009305,0.66432493021197,"bdl","",0.003454,0.111513738628198,"Within_Range","","01/20/2026","",NA
"12","TEMPEST_FW_D5_T2_20240612","TEMPEST","FW","D5","15","T2","AM","PW",8,"20240612",20240611,0.01053,0.751783075242562,"bdl","",0.010386,0.741502281051211,"bdl","",0.002535,0.0818434648009499,"bdl","","01/20/2026","",NA
"13","TEMPEST_FW_D5_T4_20240613","TEMPEST","FW","D5","15","T4","AM","PW",8,"20240613",20240612,0.016186,1.15558982486953,"bdl","",0.013932,0.994666838013237,"bdl","",0.002796,0.0902699517094501,"bdl","","01/20/2026","",NA
"14","TEMPEST_FW_D5_T5_20240613","TEMPEST","FW","D5","15","T5","PM","PW",8,"20240613",20240613,0.015841,1.13095875545275,"bdl","",0.011948,0.85302034026573,"bdl","",0.003284,0.106025222251014,"Within_Range","","01/20/2026","",NA
"15","TEMPEST_FW_E3_T2_20240612","TEMPEST","FW","E3","15","T2","AM","PW",6,"20240612",20240611,0.029622,2.11484503844589,"Within_Range","",0.019348,1.38133893065462,"bdl","",0.005963,0.192517783277343,"Within_Range","","01/20/2026","",NA
"16","TEMPEST_FW_E3_T4_20240613","TEMPEST","FW","E3","15","T4","AM","PW",8,"20240613",20240612,0.066136,4.7217403099945,"Within_Range","",0.018854,1.34607009502595,"bdl","",0.003209,0.103603817966962,"Within_Range","","01/20/2026","",NA
"17","TEMPEST_FW_F4_T1_20240611","TEMPEST","FW","F4","15","T1",NA,"PW",8,"20240611",20240610,0.017385,1.24119171539335,"bdl","",0.005598,0.399665874188781,"bdl","",0.004668,0.150708202639382,"Within_Range","","01/20/2026","",NA
"18","TEMPEST_FW_F4_T2_20240612","TEMPEST","FW","F4","15","T2","AM","PW",8,"20240612",20240611,0.010164,0.725652723339545,"bdl","",0.009569,0.683173052896114,"bdl","",0.004218,0.136179776935072,"Within_Range","","01/20/2026","",NA
"19","TEMPEST_FW_F4_T4_20240613","TEMPEST","FW","F4","15","T4","AM","PW",8,"20240613",20240612,0.010803,0.771273747563666,"bdl","",0.012325,0.87993603061392,"bdl","",0.003767,0.121619065840307,"Within_Range","","01/20/2026","",NA
"20","TEMPEST_FW_F4_T5_20240613","TEMPEST","FW","F4","15","T5","PM","PW",8,"20240613",20240613,0.010214,0.729222443544875,"bdl","",0.012158,0.868013165128117,"bdl","",0.004453,0.143766843691767,"Within_Range","","01/20/2026","",NA
"21","TEMPEST_FW_F6_T5_20240613","TEMPEST","FW","F6","15","T5","PM","PW",6,"20240613",20240613,0.016486,1.17700814610151,"bdl","",0.023884,1.70518394768218,"Within_Range","",0.006069,0.195940034665469,"Within_Range","","01/20/2026","",NA
"22","TEMPEST_FW_H3_T2_20240612","TEMPEST","FW","H3","15","T2","AM","PW",8,"20240612",20240611,0.026255,1.87446007981894,"Within_Range","",0.012847,0.917203909557569,"bdl","",0.002242,0.072383845397921,"bdl","","01/20/2026","",NA
"23","TEMPEST_FW_H3_T4_20240613","TEMPEST","FW","H3","15","T4","AM","PW",6,"20240613",20240612,0.007361,0.525534208628728,"bdl","",0.014508,1.03579001477864,"bdl","",0.001872,0.0604382509299322,"bdl","","01/20/2026","",NA
"24","TEMPEST_FW_H3_T5_20240613","TEMPEST","FW","H3","15","T5","PM","PW",6,"20240613",20240613,0.014243,1.01687049769039,"bdl","",0.011623,0.829817158931083,"bdl","",0.002275,0.0734492632829038,"bdl","","01/20/2026","",NA
"25","TEMPEST_FW_H6_T4_20240613","TEMPEST","FW","H6","15","T4","AM","PW",8,"20240613",20240612,0.022758,1.62479384865814,"bdl","",0.030953,2.20987099031178,"Within_Range","",0.003233,0.104378667337858,"Within_Range","","01/20/2026","",NA
"26","TEMPEST_FW_H6_T5_20240613","TEMPEST","FW","H6","15","T5","PM","PW",8,"20240613",20240613,0.039188,2.79780390812968,"Within_Range","",0.013536,0.96639465398702,"bdl","",0.004295,0.138665752000032,"Within_Range","","01/20/2026","",NA
"27","TEMPEST_FW_I5_T0_20240610","TEMPEST","FW","I5","15","T0",NA,"PW",8,"20240610",20240607,0.014872,1.06177757787345,"bdl","",0.010161,0.725438540127225,"bdl","",0.003933,0.126978440655675,"Within_Range","","01/20/2026","",NA
"28","TEMPEST_FW_I5_T1_20240611","TEMPEST","FW","I5","15","T1",NA,"PW",8,"20240611",20240610,0.030915,2.20715800295573,"Within_Range","",0.075251,5.37250030342622,"Within_Range","",0.002484,0.0801969098877947,"bdl","","01/20/2026","",NA
"29","TEMPEST_FW_I5_T2_20240612","TEMPEST","FW","I5","15","T2","AM","PW",8,"20240612",20240611,0.014757,1.05356722140119,"bdl","",0.013206,0.94283450063184,"bdl","",0.003015,0.0973404522188813,"Within_Range","","01/20/2026","",NA
"30","TEMPEST_FW_I5_T4_20240613","TEMPEST","FW","I5","15","T4","AM","PW",8,"20240613",20240612,0.015964,1.13974026715786,"bdl","",0.010936,0.780769203309845,"bdl","",0.002816,0.0909156595185305,"bdl","","01/20/2026","",NA
"31","TEMPEST_FW_I5_T5_20240613","TEMPEST","FW","I5","15","T5","PM","PW",8,"20240613",20240613,0.020687,1.47693603775336,"bdl","",0.061027,4.35698629941385,"Within_Range","",0.002926,0.0944670524684732,"bdl","","01/20/2026","",NA
"32","TEMPEST_SW_B4_T1_20240611","TEMPEST","SW","B4","15","T1",NA,"PW",6,"20240611",20240610,0.017498,1.24925928305739,"bdl","",0.626225,44.7089607116594,"Within_Range","",0.024531,0.791992913227654,"Within_Range","","01/20/2026","",NA
"33","TEMPEST_SW_B4_T2_20240612","TEMPEST","SW","B4","15","T2","AM","PW",8,"20240612",20240611,0.014111,1.00744643634832,"bdl","",0.378486,27.0217824326929,"Within_Range","",0.012939,0.417740667084612,"Within_Range","","01/20/2026","",NA
"34","TEMPEST_SW_B4_T5_20240613","TEMPEST","SW","B4","15","T5","PM","PW",8,"20240613",20240613,0.015186,1.08419542076292,"bdl","",0.089368,6.38037510619918,"Within_Range","",0.013493,0.435626773396141,"Within_Range","","01/20/2026","",NA
"35","TEMPEST_SW_C3_T2_20240612","TEMPEST","SW","C3","15","T2","AM","PW",8,"20240612",20240611,0.018737,1.33771694974548,"bdl","",0.038676,2.7612499732271,"Within_Range","",0.003918,0.126494159798865,"Within_Range","","01/20/2026","",NA
"36","TEMPEST_SW_C3_T5_20240613","TEMPEST","SW","C3","15","T5","PM","PW",8,"20240613",20240613,0.016001,1.1423818601098,"bdl","",0.017961,1.28231489215875,"bdl","",0.00238,0.0768392292805763,"bdl","","01/20/2026","",NA
"37","TEMPEST_SW_D5_T2_20240612","TEMPEST","SW","D5","15","T2","AM","PW",6,"20240612",20240611,0.022901,1.63500324844539,"bdl","",0.044721,3.19282914605153,"Within_Range","",0.004128,0.13327409179421,"Within_Range","","01/20/2026","",NA
"38","TEMPEST_SW_D5_T5_20240613","TEMPEST","SW","D5","15","T5","PM","PW",6,"20240613",20240613,0.016504,1.17829324537543,"bdl","",0.028101,2.00625414979974,"Within_Range","",0.00183,0.0590822645308633,"bdl","","01/20/2026","",NA
"39","TEMPEST_SW_H3_T5_20240613","TEMPEST","SW","H3","15","T5","PM","PW",6,"20240613",20240613,0.034437,2.4586090942192,"Within_Range","",0.089235,6.370879650453,"Within_Range","",0.002218,0.0716089960270244,"bdl","","01/20/2026","",NA
