"","Project","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T1","AM","TMP_ESTUARY_SOURCEWATER_20230606_T1",5,NA,20230606,NA,632,NA,557.6408,17.3937,NA,NA,4194.5484,118.3229,NA,NA,7.5796,NA,NA,NA
"2","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T2","PM","TMP_ESTUARY_SOURCEWATER_20230606_T2",5,NA,20230606,NA,1236,NA,480.7045,14.9939,NA,NA,3636.5862,102.5835,NA,NA,6.5713,NA,NA,NA
"3","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T3","PM","TMP_ESTUARY_SOURCEWATER_20230606_T3",5,NA,20230606,NA,1524,NA,519.0515,16.19,NA,NA,3928.058,110.8056,NA,NA,7.098,NA,NA,NA
"4","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T1","AM","TMP_ESTUARY_SOURCEWATER_20230607_T1",5,NA,20230607,NA,710,NA,581.2849,18.1312,NA,NA,4335.7195,122.3052,NA,NA,7.8347,NA,NA,NA
"5","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T2","PM","TMP_ESTUARY_SOURCEWATER_20230607_T2",5,NA,20230607,NA,1346,NA,547.2306,17.069,NA,NA,4145.0144,116.9257,NA,NA,7.4901,NA,NA,NA
"6","COMPASS","TEMPEST","ESTUARY","Sourcewater",NA,"T3","PM","TMP_ESTUARY_SOURCEWATER_20230607_T3",5,NA,20230607,NA,1500,NA,553.9434,17.2783,NA,NA,4153.6146,117.1683,NA,NA,7.5056,NA,NA,NA
"7","COMPASS","TEMPEST","FW","Sourcewater",NA,"T1","AM","TMP_FW_SOURCEWATER_20230606_T1",5,NA,20230606,NA,718,NA,13.4461,0.4194,NA,NA,25.8769,0.73,NA,NA,0.0468,NA,NA,NA
"8","COMPASS","TEMPEST","FW","Sourcewater",NA,"T2","PM","TMP_FW_SOURCEWATER_20230606_T2",5,NA,20230606,NA,1326,NA,17.3696,0.5418,NA,NA,23.3014,0.6573,NA,NA,0.0421,NA,NA,NA
"9","COMPASS","TEMPEST","FW","Sourcewater",NA,"T3","PM","TMP_FW_SOURCEWATER_20230606_T3",5,NA,20230606,NA,1511,NA,13.9474,0.435,NA,NA,24.5413,0.6923,NA,NA,0.0444,NA,NA,NA
"10","COMPASS","TEMPEST","FW","Sourcewater",NA,"T1","AM","TMP_FW_SOURCEWATER_20230607_T1",5,NA,20230607,NA,611,NA,12.776,0.3985,NA,NA,22.8178,0.6437,NA,NA,0.0413,NA,NA,NA
"11","COMPASS","TEMPEST","FW","Sourcewater",NA,"T2","PM","TMP_FW_SOURCEWATER_20230607_T2",5,NA,20230607,NA,1246,NA,0.014,4e-04,NA,NA,0,0,NA,NA,0,NA,NA,NA
"12","COMPASS","TEMPEST","FW","Sourcewater",NA,"T3","PM","TMP_FW_SOURCEWATER_20230607_T3",5,NA,20230607,NA,1519,NA,581.1936,18.1283,NA,NA,0,0,NA,NA,0,NA,NA,"water in flow thru has one large bubble"
"13","COMPASS","TEMPEST","SW","Sourcewater",NA,"T1","AM","TMP_SW_SOURCEWATER_20230606_T1",5,NA,20230606,NA,709,NA,181.224,5.6527,NA,NA,1507.7995,42.5331,NA,NA,2.7246,NA,NA,NA
"14","COMPASS","TEMPEST","SW","Sourcewater",NA,"T2","PM","TMP_SW_SOURCEWATER_20230606_T2",5,NA,20230606,NA,1301,NA,556.0527,17.3441,NA,NA,4182.4438,117.9815,NA,NA,7.5577,NA,NA,NA
"15","COMPASS","TEMPEST","SW","Sourcewater",NA,"T3","PM","TMP_SW_SOURCEWATER_20230606_T3",5,NA,20230606,NA,1502,NA,537.7491,16.7732,NA,NA,4075.8849,114.9756,NA,NA,7.3652,NA,NA,NA
"16","COMPASS","TEMPEST","SW","Sourcewater",NA,"T1","AM","TMP_SW_SOURCEWATER_20230607_T1",5,NA,20230607,NA,621,NA,571.0464,17.8118,NA,NA,4300.3781,121.3083,NA,NA,7.7708,NA,NA,NA
"17","COMPASS","TEMPEST","SW","Sourcewater",NA,"T2","PM","TMP_SW_SOURCEWATER_20230607_T2",5,NA,20230607,NA,1255,NA,514.2798,16.0412,NA,NA,3838.6255,108.2828,NA,NA,6.9364,NA,NA,"When SW pump cycled, the lines came out brown. Ran it until it came clear again to sample."
"18","COMPASS","TEMPEST","SW","Sourcewater",NA,"T3","PM","TMP_SW_SOURCEWATER_20230607_T3",5,NA,20230607,NA,1515,NA,553.2006,17.2552,NA,NA,4150.0979,117.0691,NA,NA,7.4993,NA,NA,NA
"19","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230608_15CM",5,NA,20230608,1704,1528,NA,10.7456,0.3352,NA,NA,1.7979,0.0507,NA,NA,0.0033,NA,NA,NA
"20","COMPASS","TEMPEST","SW","I5",15,NA,NA,"TMP_SW_I5_20230614_15CM",5,NA,20230614,912,1314,NA,348.872,10.8818,NA,NA,3587.1498,101.189,NA,NA,6.482,NA,NA,NA
"21","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230614_15CM",5,NA,20230614,922,1242,NA,284.9284,8.8873,NA,NA,2472.9192,69.7579,NA,NA,4.4686,NA,NA,NA
"22","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230614_15CM",5,NA,20230614,855,1257,NA,161.2745,5.0304,NA,NA,1713.0164,48.322,NA,NA,3.0954,NA,NA,NA
"23","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230614_15CM",5,NA,20230614,927,1228,NA,194.2448,6.0588,NA,NA,2204.8413,62.1958,NA,NA,3.9842,NA,NA,NA
"24","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230614_15CM",5,NA,20230614,935,1214,NA,389.9092,12.1619,NA,NA,3653.558,103.0623,NA,NA,6.602,NA,NA,NA
"25","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230614_15CM",5,NA,20230614,917,1318,NA,218.8013,6.8247,NA,NA,2025.9915,57.1507,NA,NA,3.661,NA,NA,NA
"26","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230614_15CM",5,NA,20230614,848,1201,NA,254.6519,7.943,NA,NA,2312.4718,65.2319,NA,NA,4.1787,NA,NA,NA
"27","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230614_15CM",5,NA,20230614,1009,1536,NA,6.5082,0.203,NA,NA,1.4996,0.0423,NA,NA,0.0027,NA,NA,NA
"28","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230614_15CM",5,NA,20230614,944,1513,NA,7.3681,0.2298,NA,NA,1.6849,0.0475,NA,NA,0.0031,NA,NA,NA
"29","COMPASS","TEMPEST","FW","H3",15,NA,NA,"TMP_FW_H3_20230614_15CM",5,NA,20230614,1006,1528,NA,9.601,0.2995,NA,NA,3.4877,0.0984,NA,NA,0.0063,NA,NA,NA
"30","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230612_15CM",2,NA,20230612,1330,855,NA,197.4319,6.1582,NA,NA,2100.4648,59.2515,NA,NA,3.7956,NA,NA,NA
"31","COMPASS","TEMPEST","FW","C6",15,NA,NA,"TMP_FW_C6_20230614_15CM",5,NA,20230614,927,1451,NA,6.907,0.2154,NA,NA,2.6658,0.0752,NA,NA,0.0048,NA,NA,NA
"32","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230614_15CM",5,NA,20230614,939,1502,NA,9.533,0.2973,NA,NA,2.9753,0.0839,NA,NA,0.0054,NA,NA,NA
"33","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230614_15CM",5,NA,20230614,1022,1131,NA,3.3829,0.1055,NA,NA,34.2586,0.9664,NA,NA,0.0619,NA,NA,NA
"34","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230617_15CM",5,NA,20230617,1242,1118,NA,207.3424,6.4673,NA,NA,2158.9773,60.902,NA,NA,3.9013,NA,NA,NA
"35","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230617_15CM",5,NA,20230617,1257,1057,NA,125.3188,3.9089,NA,NA,1706.4377,48.1365,NA,NA,3.0836,NA,NA,NA
"36","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230617_15CM",5,NA,20230617,1228,1122,NA,152.0754,4.7435,NA,NA,1932.8073,54.5221,NA,NA,3.4926,NA,NA,NA
"37","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230617_15CM",5,NA,20230617,1214,1133,NA,367.4315,11.4607,NA,NA,3519.0792,99.2688,NA,NA,6.359,NA,NA,NA
"38","COMPASS","TEMPEST","SW","F4",15,NA,NA,"TMP_SW_F4_20230617_15CM",5,NA,20230617,1252,1108,NA,214.0984,6.6781,NA,NA,1746.2675,49.26,NA,NA,3.1555,NA,NA,NA
"39","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230617_15CM",5,NA,20230617,1201,1048,NA,237.5144,7.4084,NA,NA,2551.6127,71.9778,NA,NA,4.6108,NA,NA,NA
"40","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230617_15CM",5,NA,20230617,1536,1225,NA,5.4015,0.1685,NA,NA,2.5017,0.0706,NA,NA,0.0045,NA,NA,NA
"41","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230612_15CM",2,NA,20230612,1435,927,NA,214.0229,6.6757,NA,NA,2211.602,62.3865,NA,NA,3.9964,NA,NA,NA
"42","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230617_15CM",5,NA,20230617,1513,1210,NA,5.7945,0.1807,NA,NA,2.7877,0.0786,NA,NA,0.0051,NA,NA,NA
"43","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230617_15CM",5,NA,20230617,1549,1234,NA,10.0723,0.3142,NA,NA,2.9411,0.083,NA,NA,0.0053,NA,NA,NA
"44","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230617_15CM",5,NA,20230617,1526,1216,NA,9.0194,0.2813,NA,NA,2.2845,0.0644,NA,NA,0.0042,NA,NA,NA
